7...A.E.....6G.2,..E..1...7A...D.,B.4....6..9.E...,.A.6...4..E2FB.8,EF..4.G5.D1.7...,...5C..D...G.8.1,1...B..7......G.,..7G.E.84.F3.D9.,.C9.15.ED.8.26..,.7......E..A...C,6.B.8...5..43...,...D.B4.23.F..8E,D.2156..C...G.A.,...B.D..G....F.7,.6...F9...3..5..,5.8F.....6.D...3
4.F..1A8..2.C...,..7A3..EG5..2.F.,G.E....F.D...48.,95.1.....F...A..,6.9BE.C...5..G..,..A.BF43.6...E..,5F..G...4..1....,..C.68....3.....,.....G....FB.2..,....F..7...3..6E,..8...B.5AD2.9..,..G..4...9.8D7.3,..6...7.....4.9C,.ED...F.8....5.A,.C.G..25B..93D..,...2.3..FGA..B.6
.36.DA.FB..2....,.F2.B..C.47.....,......7.G..34..A,...G6.E4...5..B.,.A.D..BG..8..5..,C..72F..6..48B..,.9.8..4.7B.FGA..,.G4..........E.3,9.C..........G6.,..8F4.26.3..B.5.,..127..5..4BF..C,..B..C..AE..9.2.,.5..G...E7.6D...,F..63..8.1......,.....6C.5..D.41.,....A..D2.CG.8E.
.7.2..DG89.B.1.A,C....9.B37E.54..,....C..3D..2.EB.,3E.F7...4...D.9.,..C...7.....A2..,..F386C.91......,....1..F..2....E,...9.BGD...6.71.,.F1.G...6C9.7...,4....C..2..F....,......41.37E9B..,..8A.....4...5..,.A.4...8...CE.76,.CD.A..71..G....,..31.G247.8....5,2.7.F.5CE6..1.4.
G8.4..D....93...,.D..94..A...C.F.,.7.....5.26E.49.,....F..B.4.G7..1,..AD5B79.3..G.18,....2......5..7.,761...F......B.2,35...8...7.D9.6.,.3.7A.2...F...5E,D.C......E...G8F,.2..8......B....,9E.F..5.DG42BA..,6..5D.1.C..7....,.A7.35B.4.....G.,.9.1...C..EA..3.,...G6....8..A.4C
..C.6...........,36..DC48..7....A,.4.821......BE..,.....F.3C825..6.,.13....B2....6.5,C5..F.7A8.1E..4B,B...1..DG..7FA8.,F....65.4.A...D.,.8...5.F.9B....1,.BG5C..13..4...2,DC..94.EF1.2..78,6.1....2A....49.,.A..721GB.C.....,..B6......41E.2.,7....B..EA8F..14,...........3.G..
7.CF6.........3.,D..2...59.8..B..,.GB...D2.F4C97..,...9..F.3G1...2.,..71D.6...2...G.,.BD..A.G.9..E1..,6...B...C1E.5DA.,.........5.6.3F.,.73.G.E.........,.52A.936...8...D,..6C..1.7.9..AE.,.D...8...C.E1G..,.A...159.D..B...,..4D72G.B6...EC.,..1..D.C2...6..G,.C.........F39.1
.....6F...D.2..A,B3.4...A....C.8.,8.AD.......E...F,....4.78..5...E9,G..6DF5....2..91,...5.A...68.4.F.,...E....DF...G56,3....82.1..A..CD,6F..9..3.87....5,28G...C5....F...,.D.1.G8...A.B...,5A..2....E46G..3,47...5..3C.8....,1...F.......6E.C,.6.3....A...5.28,C..9.7...D1.....
G...D.5.3..27.8.,8.......6F..A.E9,....F.A2..C...D.,A.5F.B....4....1,.7....6...1.D.5A,.....D.89.B..4..,.G.813....FE6.7C,C.D......6.7....,....E.9......8.3,51.B3A....68C.G.,..A..1.B2.9.....,F4.C.6...1....B.,3....5....D.FE.B,.8...G..1C.6....,2A.1..B3.......7,.5.G9..A.E.F...8
G......97.....F.,....DA8.5.2..E.B,....1E.6..BCD..7,.D.E5B.2.3....C.,2........5..E...,46...G1....8.FB5,..8GC...F....D.9,.CE.4D.A.7GB..8.,.E..B6C.1.43.A7.,F.7....E...A42..,69C.A....87...D1,...1..3........F,.F....B.A.548.G.,3..CG8..B.17....,8.4..7.1.CF6....,.1.....D8......3
..D6.2.5F...9...,..E..71.3.8D..G.,..8CF..G.B.96...,4....8D3.C6.E...,1....94..6.EG...,..C9..3.1.......,.25.D.F.4G.8.7.6,.4......D...2...,...3...C......D.,B.4.E.79.A.2.83.,.......6.E..F9..,...73.A..8D....4,...A.C8.72F....1,...BA.9.8..65D..,.5..7B.D.19..G..,...2...E5.C.AB..
CF.2......87..G.,.G6.C4.85.F...BD,5...3E.B....7F..,..8...D24......5,75...2B..A.4....,..3...6A.7...2.4,..B143.9.2..G...,.2.9...C1.3.8...,...8.B.DF...6.4.,...F..C.E.D9A8..,9.5...A.B8...D..,....E.8..12...57,D......1CF...G..,..C6....8.43...9,38...A.F2.6G.EC.,.E..6C......F.82
......6.....A..1,..C..A.5..6..F2.,4..2..EFA....C85,...E.47.C.9...D.,7.D.4..E.61.F9.3,1........E..G...,..94..13.G8...7D,G.3.825.7..D.E..,..4.9..7.B3A.1.8,C6...34.15..D2..,...3..C........E,D.78.1F.9..6.4.A,.5...9.4.CE.1...,3CE....D57..4..2,.7A..6..4.2..G..,2..9.....A......
.E.9.72.G....C..,.3...5.E276.9...,.4..G.C......8.D,D5.78.6..B..A...,8..E3..F.5.1....,A.7.5...B..2.G.E,..F..G....E...3.,4..2BE.1.G...F.A,6.B...1.F.7DE..5,.2...9....4..3..,5.E.D..6...C.A.1,....C.E.A..5D..2,...D..G..4.7F.E6,E.6......2.G..A.,...4.D75E.A...C.,..5....A.9B.3.8.
F..E...5.C...7..,..3G4.....B.6..8,4...D....6.8..G.,.D5A..9.74......,..6..A.94.C..GE7,.4D...C..1..2..A,.B..7..28.G..4.5,.....84G5..D9.6.,.7.51..F926.....,9.1..2.3B..A..5.,D..B..A..5...1C.,6EC..9.41.D..A..,......28.7..GFB.,.5..A.G....E...2,8..9.E.....23C..,..2...1.D...5..E
5B....C.....D3E.,C.E.4..3.1.2..7G,...A..D7..B.6.4.,..4.1.B.C..7....,.....5....F..72.,72..3A...4.58..E,.D.4E..6.8....9B,....24.....DA.F.,.6.3A.....9E....,B7....4.3..89.C.,2..EB.8...6G..1A,.85..9....C.....,....8..D.E.9.2..,.G.2.F..86..B...,8A..9.1.2..C.G.4,.EFB.....D....A7
E6.2.47.1.......,.3......5B.4G1..,...F..E1..A....D,..4..D.A.38..CFE,B.E752.C9A.8...4,....G.D..E......,C12.8B..4.....E9,3.86...4.7......,......G.F...A6.8,AE.....D..6C.7BF,......A..1.5....,1...E.B7G.4AC9.5,92D..53.6.B..4..,5....8..A4..9...,..137.4E......C.,.......B.5F.8.63
.....B...G..A..9,..9..5..4.6B..2.,.5.G7.C..3..81.F,.F......157..6.C,.....6F2B..7D.C.,EDBFC.3G.6...7..,.........C...2AG,.A5...47.E...9..,..C...A.G4...E9.,4E1...7.........,..6...9.71.EC5G4,.B.52..E8DC.....,G.4..92A......7.,D.EC..B..7.63.8.,.7..8G.4..F..C..,5..B..6...9.....
..7...F..4...1..,...69..413...2..,.5A.813...7..E4.,.4...72E.......9,.8.2F4.7...AB6..,7.6..3..G.45....,EC..6.....9BA..3,.9....AC76..G...,...8..B9AC....3.,1..A3G.....2..95,....7A.8..B..C.4,..DE2...6.G81.7.,D.......EFA...B.,.6E..8...927.G1.,..B...613..D7...,..5...7..B...9..
..39..C2.6.DB8F.,.F.B9D..A3..C..7,.D....8A.2...E9.,7.2.......95..6.,.G1......E.3.F..,...E3....GA....8,DA...4.71.5..G..,..43.2B...8...D.,.B...1...D3.8A..,..9..7.52.6...BE,A....CF....E4...,..F.D.4......7G.,.C..49.......1.B,.1A...7.39....5.,G..7..1C..FB2.A.,.9B2G.A.84..E6..
.8...E..6..3...G,.......C.....591,.C.2..D..A.G38..,G...F.73.49.B.C.,1BD3EG..F..A4...,..C.5F6.....7..B,.A74.........1.9,....13.BC....2..,..G....D8.27....,E.4.........965.,9..C.....DA4.E..,...FB..G..69137D,.1.9.65.B3.8...7,..87C.3..G..5.A.,CEB.....4.......,4...9..E..7...1.
.B..5AE....C2.D.,.2.1F7...6.A...4,.3C...2.E4..F817,.......8.G......,69.G1...8CAF..E.,.....G...7...A..,.C7E3..B...G1...,.....98.4.3.7.6.,.D.3.1.A.EF.....,...9B...G..2368.,..E...C...D.....,.G..9F34...B5.7D,......B.1.......,38DC..52.F...9A.,1...8.6...24G.3.,.4.F7....3GE..2.
...F5...21.4....,.6...F...D.G.B..,.4.5..8...F7.E.2,3.2..7.E98..G...,6..7E...A...D8.5,C..A.9D7.....2..,.9.3...CD..1A..G,..8.6G5.F.C....9,B....2.F.53D.G..,8..14..5G...7.6.,..F.....6A8.4..E,5.D6...3...C8..F,...G..E9B.7..6.D,F.6.GA...3..E.9.,..C.7.F...2...B.,....2.34...A5...
2D...G8.3....6..,7..E6.4.D..A....,...CB.D..G.....F,G5..1..C7.E.8D3.,..5.3A..6..4...7,..7..C6B....91ED,.BC..4....98A...,..F........C..5.,.3..2........G..,...1F8....D..42.,52ED....A46..B..,C...D..A..1F.5..,.AG7.F.D4..9..86,9.....G..3.DC...,....A..3.2.6F..B,..2....7.5A...91
..3.G4.A.F.2..51,..4G8.2.AC.....7,..B......5D...A.,.E.......8.....C,BGA.7..24E.1.9..,...6B..4..7DG..A,........8.6.B.2.,..21..GD..F..536,819..A..5B..D6..,.2.7.1.C........,5..DFG..6..83...,..6.D.8BG..F.E45,G.....3.......1.,.6...CA......4..,2.....B1.6.C9F..,3F..4.5.1.G9.A..
......FA4.C.7E9.,6G.9.1..F.....B5,FE....3.1......8,4..5E.7......G..,...E6CD7..G5.A..,DA..F9.E.....B..,.C....5..9......,2..F.B.38.E..1..,..E..3.G2.7.C..F,......C..1....4.,..B.....A.49..3D,..1.76..C5BF8...,..3......B.A9..G,B......2.4....D6,G7.....F..2.1.AC,.5F8.A.D7G......
..2..EC.....63.F,........63C..B.4,E.71..6.G.B..A.5,...6.4.2..F51..D,5E.B68G.1C.3.7..,.8..4..C....3..9,C.6...5EA.4....8,...D..F.8.....A.,.2.....6.9..D...,4....2.GF6...8.7,D..5....3..4..9.,..8.5.41.D2GB.EA,1..C85..7.D.A...,G.B..1.D.F..95.C,7.E..GAB........,9.D8.....GE..2..
E...D....498.6..,..4.8..E..GFA2.C,85..G9C...27..F1,3.C.............,.E.1F.AB28.C..76,...C.2..G.D.9.A.,..F39........8..,7.....5.A.4.....,.....8.C.5.....9,..8........15D..,.7.4.5.6..F.3...,B6..4.9GD2.E7.C.,.............G.F,AG..34...C62..EB,4.9BC6..3..D.A..,..6.57G....9...2
3.......F.8...G.,.9..8B.E.D.C...7,C....6...3.A.4..,6A.B...D..G..F.2,B.9.EC.6.A..5...,A..C95....E.DG7.,.....473....E9..,5...B.G8..9....4,7....G..9B.D...8,..52....A83.....,.6BF.A....752..3,...1..D.4.F2.5.9,2.C..7..E...B.85,..3.2.1...D....A,1...C.9.2.57..D.,.D...3.4.......C
F.....GC162.B...,.E39B..6.C7....8,..CB........3...,.7..5F..9...C.G2,....128.3..9A.BG,.3...6..2B.C..5.,A..5E...7.G.6...,..2EFC.G.......3,E.......G.6254..,...2.5.B...E7..F,.F..4.2A..8...D.,38.46..D.7AF....,54.A...8..EB..7.,...6........2C..,C....D4.6..7F81.,...8.7F3D1.....5
E.......C.715.23,........B......4,5..8A.2B..3.7D..,.....4E...G9.A1B,.839.E7..62A..4.,.C..9.......AG.1,.6.DB3...4.E.C7.,7....21.3G......,......C1.BE....A,.G4.3.B...62C.F.,8.2C.......3..G.,.F..DA6..79.43B.,4ED.C7...5A.....,..BG.9..E3.F8..C,C......F........,F9.7EB.A.......G
..4C.D....G..1..,1BG..F...E7....2,F2...7.E83.4.G59,...8B......FEC..,.48......D...B..,...1.C.D..B.4.8.,......6.7..G..F.,.D..74.3F8...E.A,A.7...2C6.81..E.,.9..A..8.B......,.G.2.9..E.5.8...,..D...G......46.,..651......83...,3EB.9.A7C.6...4G,9....3D...A..6C1,..2..6....3.79..
.3.A.D..F..1C5..,D.78..F5BA..9.4.,...4..1.....F.2.,.....49GE6...1..,.4..C...D8.6....,7....1.B........,C532......4..D..,1.F.....2..A5.87,FE.C6..9.....4.8,..G..A......167C,........9.F....2,....7.G1...4..5.,..A...2C4F5.....,.8.1.....E..B...,.D.5..E48B..79.F,..49G..8..7.6.D.
....9.BF41.D5.23,3.4.7A1.....9G..,9.A.2...C.5....8,..FC..3.9..G..A.,1C..AE........D.,...2...15.7EB9..,.6B....D.428....,.E.......C9...76,2F...35.......4.,....C4D.E....1G.,..5EGF.BA...D...,.1........34..9E,.4..F..3.2..6D..,C....1.2...A.7.G,..GF.....BD5.2.C,E3.8D.C6FG.7....
46D......85...C.,7..9.A.8..G...1.,...5..3.BA.4E.9.,.1E...C.7..6.3..,.5.7.32E1...F...,3.98F..D.E...G..,D..6......3..CE.,.F1.8....57D....,....678....1.BG.,.78..C......A..6,..3...G.5..914.F,...1...936E.C.8.,..5.7..1.2...FA.,.8.A5.FC.1..7...,.9...2..8.A.B..E,.4...D9......53G
.72.3......A....,...16...DB3E.2.9,...B.2.AF1..4...,8DFA.......G7...,.2...D.8B.E3.A..,...7....4...91G.,EA...7.F...68.45,..G.E4B..A.....2,6.....A..CD9.G..,7C.G8...6.2...5F,.913...6....D...,..B.53.G1.A...6.,...E7.......AF98,...2..9B3.5.G...,9.3.FAG5...72...,....2......D.57.
4F.G..6..3......,D...7FE.9....53.,..B..G..F....E8C,38...41.CD7....F,CE.1D.......2...,.A...1..62..3...,....B..4D1.7..CE,6..4..9..8C..1G5,E14..9B..F..5..A,9C..1.D57..G....,...D..37..2...4.,...6.......91.E3,8....DCE.5A...B4,G4A....3..9..6..,.26....B.7E8...D,......7..6..G.A8
..69...2....1..5,.C.16....3..B4..,...B.A..7..5..9.,4..G..78F..B.E3.,..3.15.A6DG....9,.....G..4.....D.,.9..7D4..8.1...E,G.4...2C....A318,B2A3....DE...9.C,7...G.C..9B6..2.,.1.....5..3.....,D....194C.7G.B..,.72.F..394..5..G,.3..C..6..E.9...,..BA..D....38.E.,1..F....G...C2..
E....7..5..4A1..,B1.4.DA.E.F...3.,5...4.EG1..DFB..,.8A..31..BG7..D.,...C......E...4.,G4....6....F..7.,...5.F...G9B.3.2,.F82..G.D..A....,....1..8.5..ECB.,3.F.CB9...D.1...,.6..E....9....5D,.B...2......7...,.7..61F..42..AG.,..29D..E6F.3...B,.E...9.B.A5.2.61,..C12..5..B....E
D..8...49....5C.,......C....4...F,.1E..7..B..G..8.,.G.3FBA...8..D.9,.6..A..E...D...8,..A...3F.86E1.4D,.....DB7..F..92.,3.D....845...EAG,29F...5D8....G.7,.58..E..2D3.....,6E.DGF1.A4...8..,1...6...C..F..5.,7.6..5...EA28.9.,.3..C..9..G..A6.,9...2....C......,.21....B3...F..5
5.GCE8...2AD....,..9..2C.56..E.8.,.....A59...4CF..,3..........B...5,6.....1D....5.F.,D.......A.91.E..,.B.....4.F..73.A,...3.5.A.DE7.G.6,9.B.67E.4.1.3...,C.2A..3.8.....E.,..7.4B.8.......C,.5.D....G7.....8,G...F..........7,..528...71D.....,.4.E..DB.3G..A..,....A17...4F6D.B
....7.A..86.2.G.,..9E.286.D.5.F..,.....E.1....58..,.5.8F..G.B.A....,G73...4F2..C.6.8,...59....G7.C.AB,..4..3........12,1....B....8..G7.,.B2..F....E....1,68........B..7..,C1.D.62....F9...,5.A.B..462...3DF,....E.9.F..D8.6.,..63....8.4.....,..E.6.D.G19.B5..,.C.2.71..5.6....
..AC..9.....571D,.......69.7BG8..,..9.1....5.A.C4.,F.7.5.2..E.....B,.E...A..B....6..,..F..E.....68..2,98.62.G35...1F..,.DG....548C....9,4....7C93....1E.,..17...F82.4D.96,5..3G.....F..4..,..8....E..D...F.,8.....4..B.1.E.7,.A5.7.1....3.B..,..C96F.AG.......,76D4.....F..95..
.C.7.5..9D..6..1,.E......G.F.2...,...91B3.6..4..D.,DA.....8.B.7...F,.7D.9...B.C..1..,...F.8...4.E.92D,..3C..15....4.EG,B29.6E.....5....,....7.....B2.A94,94.A....1G..C2..,E5C.4.8...6.G...,..F..G.6...C.D7.,2...D.4.8.....3C,.9..5..A.723F...,...4.6.3......1.,1..3..F9..D.7.5.
.572D.4..1G.F8..,.E.G.....CA...B.,..C.A.5.F....1..,.B..F.8.97..3.DC,D......17..3E9.8,.G....9....8.63.,6.13..DBC.9.....,.....8...5.4....,....5.A...4.....,.....9.7B6..GA.4,.A3.C....9....8.,4.2C1..85......B,A3.D..62.E.7..F.,..4....9.3.D.2..,.2...3E.....4.G.,..E5.DF..B.2839.
3...8F.D..AB9EG.,.91..4......BA.7,A....B.32.5...8.,.4.5...1D7E.2...,....683....1....,9.F...4..C......,.8.A2C..E.6..G..,.53...DBF.....9.,.F.....G1D...8E.,..6..3.8..74D.1.,......C..2...4.9,....D....6BE....,...8.GB7A...C.F.,.G...9.A5.F....3,D.B3......G..15.,.19F4D..B.87...2
..A.3.1..57..G2F,...7.....4..A...,..9..........316,..3..6.8...15C7.,D...6.7..CG.8...,.F...E.BD.13...G,.9B....A4F.....5,GC.A4.D.7.95.1..,..6.5B.C.9.AG.38,B.....E15....FD.,5...D8.31.C...4.,...4.26..G.D...E,.G15B...E.8..6..,98C..........7..,...F..5.....C...,6D7..A3..2.G.4..
2BE...5F7...981A,....8...F.4.E.B.,4....2...D..7.5.,.9..E..GA.5..F2.,E.....A....7....,.A.G...4....3D..,..5..8G.412...9.,1D.6.7..38..24..,..3C..48..1.A.75,.8...A7C.4E..1..,..A4....8...F.C.,....9....A.....4,.71..4.56..2..G.,.2.5..F...G....C,.G.9.1.A...8....,8FBA...35E...269
25..E3FB61.DC.G.,..B1..2C..3.....,...4A..G..5.F...,.....4.1.G.2..5.,3.FG..B....E.C4.,47...E...5C.G...,9B.5FC6.D...1A..,..DC...5BF...2..,..A...GE1...6F..,..1D...8.6F57.C2,...6.25...7...91,.C5.1....D..A8.4,.6..3.C.5.D.....,...B.7..G..1E...,.....F..CB..49..,.F.2G.E6A794..13
....D.B....4E.F.,....A3.56...GB7.,E...9.2..3B....5,B..1.8.6...5...9,..8CE..B.6......,.A.3.7..E89C4516,.526....7...8G..,F.....8.2..B7C..,..3F5..A.9.....8,..ED...G....5FA.,AB75823C..F.9.E.,......1.B..2D7..,1...4...G.C.A..2,D....AF..B.E...7,.2CB...EA.83....,.7.81....2.9....
..4..87..CG.E3..,79..4.....2.1C..,..3.D......8.4A.,.C.G2...4......7,F..3..1A.4.9...D,..CE..835..1.G.9,.6.....7..EC....,.G19.DE..B..A...,...D..F..1B.253.,....B7..E.....D.,3.2.E..6A5..98..,5...3.C.D8..7..A,E......2...FC.B.,.A8.6......D.9..,..71.B.....6..85,..92.C5..G1..7..
..1..7.E...5D..8,..C..9..84..6...,.D.G4...1..27E..,64...BD.A.....F2,2B.47.1...ACF...,.3F...9.52......,...9E...61.4.G..,.....DA....9.83.,.72.8....C4.....,..9.5.BG...DE...,......47.9...AD.,...A21...G.73.85,F9.....4.B2...GC,..ED9..F...12.B.,...3..G6..8..7..,8..2B...C.7..F..
3....C....B1...A,...9.D.16..4....,B.7.F29.........,...G..38.7C9..1.,.D8.2GE6....C...,.1AB4....D.2G...,5........CE.B.3.,.G9.5.1....6.E47,24C.E....6.D.GB.,.9.E.8F........1,...AG.C....E659.,...7....924G.CE.,.8..1F2.A5..9...,.........E6B.7.4,....C..54.D.A...,9...84....G....B
....7.G.E.A....B,..8..3..G...AED.,AD....49.72.C...,..C6F....59.2.8.,..A5.....9.C...D,..9...D.4...GAF.,3...8.2..1..9...,..F..91.6..7.4.E,7.1.B..3.A5..6..,...F..E..C.B...8,.3DE...A.2...7..,2...6.5.....3F..,.9.4.2B....F68..,...A.67.DE....9G,.658...E..4..2..,B....5.4.6.1....
.G7.C6....3.....,.B...284..F5..6.,9..FDA7.....C...,6..8F....D7..4B.,....1..A.5......,..F6..5..G..E.1.,B.5.G4.....38..7,.A2C7D3.89....4F,86....25.BED7C9.,F..EA.....92.3.4,.3.4..B..C..6F..,......D.F..A....,.5C..7G....F2..8,...3.....15ED..G,.4..58..32B...F.,.....3....86.5C.
.7.F.A......B.2.,85..G1.D.4..F.9.,.4..E.739......D,.9.B4.5..AD....1,.8...C..1....4A.,.6AD2..B.E.4.9.5,..4...9.2.8...D.,......G1.63A8..E,9..C574.8D......,.G...8.6.B...1..,3.1.B.E.A..9574.,.AF....G..5...E.,E....62..8.59.B.,C......8B3.G..7.,.F.6..B.7.1C..53,.B.7......4.1.8.
...9.3.B....52C7,F3..A87...5D..G.,.4..1..F....8D..,..5.....2.4...6.,17F..4AD.E..9..8,.9.A.G..4.2.7.1.,G..2..E..C.8..4.,E..D8.F...1.....,.....6...G.5C..2,.8..2.1..7..G..3,.D.5.F.3..9.4.7.,2..4..8.FB3..5D9,.A...7.E.....6..,..7E....5..G..9.,.C..95...872..A4,52DF....1.B.E...
B..D8F...6..35.2,C5....E.......D.,E2.8.4...7...G.B,.F3G.9..15......,.8.C6E91.....42.,........G.7.A.B.,A9..D8C.......3.,3E.4.A.5.....D.C,6.E.....3.5.2.G7,.C.......BA2..E4,.D.3.5.C........,.4A.....6EG98.5.,......29..1.467.,9.C...1...F.B.8G,.3.......2....1D,7.F1..6...985..A
6.GD..7..5.8.A..,.....F862.......,C....1..7.BF.56.,3..7.9...E..8...,.71.8...5D.G..3.,...6.53..B2..9.A,.A..F7..C..3..GE,..3B.E4..A.....8,E.....1..7C.96..,7D..E..G..3B..5.,2.5..86..GD.B...,.8..9.57...E.3C.,...C..E...5.F..G,.BF.A4.2..6....5,.......3B84.....,..A.5.D..9..72.6
8A..5.D....3...2,...2.F7.8.4A95..,..9.....6D...BF.,....AB.C....ED1.,..D89.37.B...G..,9C6..D...4E...A.,473....F........,.F.5..1BC.2..7D.,.85..A.9BE..D.6.,........4....FB9,.9...EF...5..43G,..F...G.9C.62E..,.5E9....1.32....,.34...52.....A..,..8A17.D.59.B...,C...4....A.B..9F
..B..8....25..A.,E4......A.3...86,...8.....7G..C.D,.75..A4....9.3..,1.....GE2..7.F..,6FA31.7..4.B.92.,.....9.F.....B68,G.2......3....E7,45....E......8.9,26F.....B.C.....,.D9.6.2..1.G543A,..E.9..178.....B,..C.8....5B..29.,F.6..25.....G...,DG...7.C......5F,.3..F1....7..D..
973...B2.C.6..AE,....E.FD5..G..8.,........9.E.B..D,..21......8.4.9.,81.4G63....7..C.,..E..D8.....3A4.,..C35.E4......D.,5.....29...C6.1.,.8.G9...75.....2,.5......G8.D7C..,.C1E.....93..G..,.D..4....F1B5.E8,.2.D.8......A7..,F..9.B.C........,.3..D..G8B.1....,G6..A.9.2D...3BF
....5.C.E...A1D.,...G8AD..C.7.5..,5..7...BA46.....,...D..4E...9.6C.,.9.....C35EB..AF,G.5..F....7....D,...1A....9...7..,..4..53..DC.6B8.,.3CA.68..G9..2..,..6...A....57...,2....B....A..3.E,8B..G2931.....6.,.4A.B...D2..E...,.....3G18...4..2,..2.D.F..7GE1...,.7GE...2.1.A....
.9E...A13.....B6,.G...F38......9.,.3.A.6G.C...F.7.,..5.E..7.F.9.3.2,E.B94.8...73G6..,....6.....9..FD.,8..G7.C...E....B,C23.....F..D..5.,.5..1..2.....784,3....A...6.CD..5,.B6..3.....5....,..GF8C...9.AE1.3,2.9.G.D.E..6.A..,.1.E...6.AD.2.3.,.D......985...E.,5A.....CB7...DG.
G5.8..1...3.CF..,1.7.FG......8.6.,...B.78.C..9..G.,C...4.2DG.7F..1B,..3.D...E.....9.,...4...1..6..G.F,D..A2..71...4C..,.E..C84..5..7...,...F..6..2E8..A.,..8G...25..4F..1,6.9..D..A...3...,.B.....E...6.7..,51..GB.A23.7...4,.3..8..6.AG.D...,.F.6......DE.9.7,..GE.F...6..2.5C
..A....G5.B..E..,E.5..CD8...7..4G,..B25.....E....6,.8D.A.E.....7...,6.1.C5..27....G9,.B..E4.1..6.....,7D4E.G9...F.....,.AG....619.....4,F.....73C....42.,.....6...87.G39C,.....A..3.DB..E.,C6....49..G1.B.A,...A.....1.D.G3.,B....F.....CD9..,GE..1...A38..C.B,..9..7.5B....2..
