..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
.4.5..B8.C.3,.8.1.....6..,3......6.9..,...C4B.7....,.64.832.A5.1,.....6....74,13....6.....,6.57.243.81.,....5.8B3...,..9.B......7,..3.....5.6.,2.C.6A..B.9.
..62.519A84.,..A.6....1..,..1.2.4.5..C,...58..C7...,B8..7....2.5,.A.......9..,..9.......7.,C.B....4..58,...6B..72...,A..B.C.5.4..,..4....A.3..,.67C498.B5..
.......2B..7,...B5...3.4.,.7...649...8,.251..C3..B9,.......4...3,4B.3..9..1..,..B..8..2.1C,8...2.......,C4..93..78A.,3...6A8...9.,.A.7...56...,B..5C.......
8.....6.A...,A..9...26.3.,.6....7..C9.,.1.....6.8..,.4..B...29.7,7....23...6A,3B...1C....9,6.78...4..2.,..2.A.....4.,.3C..A....7.,.A.56...3..4,...2.9.....B
2.......3...,6.73...54...,4....39..1.5,.6...CA....8,C9...67.A.3.,..A......2B.,.85......7..,.7.C.A4...83,A....51...9.,3.2..86....A,...9C...26.7,...A.......C
586........4,B..9.4.1C..6,...73B9.....,.......3.C.1,.6...C..53A.,..C.96....4.,.7....3B.6..,.34A..7...9.,9.B.5.......,.....7B5A...,8..B6.4.7..3,A........4BC
5.....17.6..,.C3.B...2.9.,6..7..C.8.B.,C..5.6B2...A,...A........,27..3.A....5,3....B.1..89,........1...,1...2C5.4..3,.A.3.7..9..6,.8.C...B.13.,..1.68.....7
C3...8.4A...,..A...B.....,..51...9.4.8,34.8..9..7..,...517..2.8B,.7.....5...6,6...4.....5.,95.4..72B...,..3..C..6.94,7.B.3...81..,.....A...B..,...A9.5...62
......B.69.8,.9.....3..45,...6.C..1...,..9.3..AC1.4,....7..5...3,4.C...1..57A,9AB..1...4.7,5...9..7....,C.416..B.A..,...A..8.7...,28..C.....1.,B.79.3......
.1....28..A.,3.B5.......2,.A.9..6158..,.9.83...4...,.32...5C....,5...92..B...,...3..A9...5,....76...B3.,...2...B9.C.,..34A8..1.9.,9.......C2.4,.2..14....5.
29...4.6....,.3......82.1,A.1...29...5,9.A.2...7...,.8.3.75..C.A,7...6.....8.,.A.....4...2,5.3..1B.9.6.,...4...5.1.C,4...BA...7.6,3.2A......C.,....C.9...54
..B567.8...3,.A.....B...C,1...C.2.7...,..59.B..3...,8...7C...A65,.1..5....C..,..A....C..9.,B87...52...4,...1..3.82..,...3.2.4...9,2...3.....7.,7...8.B964..
3.B7.1.A.C24,.8.5.4..3.7.,4...6..3...8,75..8.3.B...,.B9......A..,.......4..8.,.2..3.......,..C......35.,...6.2.7..1B,B...4..C...5,.6.2..1.8.A.,8A4.2.6.C9.3
...9..B.6...,...8356.A.7.,3.....2..B8.,.C.......5.8,9B...6A72C..,.8.....39...,...A4.....9.,..B4A38...12,2.C.......5.,.65..9.....3,.A.7.85C1...,...B.4..7...
4..5...7.8..,........C342,1...B2......,..24C13.....,A6C..5....9.,.7..4....56C,634....2..A.,.9....C..62B,.....96B84..,......A1...5,518A........,..B.5...A..6
..C..98.4.3A,.1A........9,.2.....36...,28..CB7.3..1,.........9C.,.3.....4B..6,B..47.....5.,.A9.........,8..2.145..93,...C5.....8.,4........56.,65.A.71..C..
4B.83.A67.2.,..C2..8B....,9...........,....B4C35.9.,.47.9......1,...9...1.C.6,5.3.1...8...,B......5.16.,.9.1683C....,...........8,....76..12..,.1.C53.96.74
...7..8..49.,68......C..B,..2..159.A6.,.A4.3.6.....,...6..A8..14,.B....1..C..,..C..5....8.,A7..23..B...,.....4.A.62.,.97.6A3..B..,C..2......A9,.56..C..1...
.3...C...5..,C.7.452.9A..,.6..B.3....1,......C.....,....A8..63.9,B.59....21.C,4.C3....19.B,5.96..A7....,.....9......,A....3.8..6.,..87.16A.C.5,..6...9...1.
.1C.4.5AB3..,..52.....C7.,.A...1....4.,....8.......,56..93A.....,..78..4.95C.,.B96.8..C1..,.....A7B..93,.......9....,.2....1...3.,.86.....7B..,..AC57.8.61.
1..3...A.5..,7..B..124..A,..65...9....,2.B.1.......,.....B...76.,A..7C.2..4.8,5.4..8.B9..6,.2A...4.....,.......5.C.3,....8...63..,B..429..8..7,..C.5...1..2
...6B5..7...,.........6..,...57..8.219,..68.9.B.7..,C3...A.12...,9..4..6....1,5....C..9..2,...12.7...83,..8.5.9.41..,317.6..CA...,..B.........,...A..598...
C3..........,.1B.3..5....,.562.714.B..,.7.1...94..3,..3.4.7.9.1.,..C8.3...5..,..7...B.28..,.4.C.1.8.3..,5..3C...6.A.,..8.163.B75.,....8..B.C2.,..........48
..715.....8.,C.5.A..2.93.,B..8....4...,2....C3.....,...C.6.8.B92,9.......58..,..C9.......4,76B.3.2.8...,.....9A....7,...4....A..8,.91.C..3.2.B,.B.....597..
1......689..,.2.C.8...76.,8....C....B3,612.9.B.....,...5.4......,..C861...394,CA3...654B..,......1.6...,.....A.7.538,7C....5....B,.36...2.7.5.,..B23......A
..C394.8...1,9.5....3A4..,.4....62....,.3.4......B.,B....6..7...,5..9..7.1.32,8C.5.A..4..3,...6..1....8,.A......C.6.,....73....9.,..9A5....C.7,1...A.9B38..
.3.75.......,....8...C.39,..C4.6.3..A5,7C8.1....9..,....7.....2.,9..1.A.4..67,54..6.2.7..A,.8.....9....,..B....7.691,19..C.7.23..,B6.8...2....,.......B5.8.
9...83..4.5.,56...7.A8...,B..A9..4....,...5...B..2.,27....A.9...,4.9B7....8.3,8.B....92A.7,...7.2....94,.9..A...C...,....2..3A..8,...84.C...36,.5.9..78...B
..598..A....,.4.2B.....73,.A3B1.......,...729..1...,..A.....8B6.,.1.5...7.4.9,8.1.9...2.C.,.B2A.....9..,...3..184...,.......5721.,52.....6C.B.,....4..253..
8.7..3..4..6,.4..........,..3...B.7.5.,.8B75C....2A,...CB..2..7.,43...A.8...C,2...9.5...B4,.A..2..46...,35....6AC71.,.C.8.2...A..,..........6.,A..1..4..9.8
8......BC...,9.43.5....8.,....69....A.,.68.3.....B4,.3.B.....C57,....2.548..A,2..79A.5....,681.....5.7.,54.....2.63.,.2....43....,.1....C.A2.B,...4A......3
A...5..61...,.C.5.1.....6,.7.6.4C9.5..,.......4..BA,....C96.3.8.,.1....A.97C.,.491.A....6.,.B.A.397....,73..4.......,..C.9B3.7.A.,2.....5.8.3.,...76..8...1
.C56......2.,....B....6..,..A3.5.C...9,...8...3..14,...9A.485C6.,...2.69...A.,.2...97.A...,.97C58.AB...,4A..C...2...,6...2.8.13..,..8....6....,.1......6B9.
.4....7.153.,5......96...,..A.6.21C89.,3..4.2.C...9,.A2.14......,.C.....A....,....7.....5.,......A4.9B.,4...5.C.7..2,.8B7CA.3.4..,...C9......B,.693.B....1.
.A....2....5,B.8.A4.9.2..,269.....8..3,.76.1.325...,.4.....5...B,..5B.C......,......B.38..,4...6.....2.,...C52.A.79.,8..5.....B46,..A.C.4B.3.7,7....1....5.
.......615.8,..3....5...4,8....2..A7.C,..C2.9...B51,...32.....C9,9.A..7.C...2,B...A.9..3.5,C3.....18...,596...8.2C..,A.49..1....3,3...7....1..,6.7B4.......
.56..8.9..BC,.2A4..B..5.7,....5C..3...,..783...B...,......6...A.,...3..9..47.,.C5..4..1...,.7...9......,...6...B57..,...A..16....,4.8..3..7A2.,56..8.7..B9.
.4........7.,1C7..2.6..49,8..694...5.1,79..6A.8....,4..2..3B....,..CB1.......,.......A18..,....37..9..B,....C.51..A7,B.3...296..A,52..4.8..79C,.6........8.
.....A496...,6B5.C.1...3A,.A91.3.B....,......C.2...,A.4.7..1.5..,...6....1..3,9..3....B...,..A.2..7.9.1,...2.6......,....1.5.486.,28...7.4.B1C,...CAB8.....
41.23.......,7.95C.64.8..,....7...3...,8....94.12..,BC....1..9..,1...A..C..6.,.5..1..9...7,..A..B....94,..71.C5....A,...B...A....,..2.94.387.B,.......B6.23
.....89.....,..C6....4...,5.A.7..219..,.....C.92...,.C3.278...46,B..2.6A...3.,.3...16.9..5,68...A45.C2.,...9B.2.....,..985..A.6.C,...B....82..,.....9B.....
AB....9..16C,.56...1.....,91.7.B6.....,.A9.B...4...,.2.1........,8..C.3A6.9.2,3.2.A4B.5..8,........9.4.,...A...C.B7.,.....14.6.C9,.....6...7B.,174..C....83
...15.4....9,.3..B...C..2,......A3.1..,CA7..1.52.9.,3....A2.7C5.,..4..6..8..3,8..C..6..5..,.136.B5....C,.7.A1.C..624,..8.65......,A..2...1..7.,1....C.2B...
4...56.9.BC.,...1..A2..4.,.9.2B....6..,36..........,..A49......7,..5.83..C.6B,A5.8..1B.2..,C......6BA..,..........58,..4....81.9.,.A..15..8...,.8B.6.47...C
87.B.9..1..6,.....1253.B8,..6........A,....4.......,...8B7.6..42,..2...586.7.,.A.475...B..,1C..3.8B9...,.......9....,9........5..,78.1964.....,C..6..B.A.97
7...1.....3.,158...94.2..,.....A.3.9..,5..724......,...C..7.8A..,..B8.C....6.,.4....8.1C..,..15.9..B...,......163..9,..6.A.2.....,..A.76...4B8,.8.....1...2
7..4..9C.5..,.6....17..C9,.8.C46......,....C...1238,...B......7A,4....5.A9...,...28.C....1,37......A...,B149...2....,......693.2.,13..B2....8.,..9.1C..7..B
..9....1752.,.1.42...86..,.C.27.3....A,......2..4..,..5..9.C..A7,3......A91..,..8BA......C,C5..4.9..2..,..4..3......,4....5.3A.8.,..B8...26.5.,.7C51....3..
.....B82..C.,C...9......8,64......57..,B.3..5..4.7.,..4.7.CA.69.,....6.3...1.,.8...9.C....,.2B.53.8.1..,.7.A..B..4.3,..95......36,A......6...5,.1..3A5.....
..9......C.4,3..7.8.CA...,....B.2..837,...5...B....,...4.C32..A.,B1.......572,1CA.......28,.6..C1A.4...,....2...9...,5B4..7.6....,...23.1.B..A,A.3......7..
7.8..B4...2.,.C....16....,B.4.....156.,.5...3......,193...C7.6A.,...C9.A..4..,..1..8.B4...,.8C.14...A39,......9...5.,.629.....C.5,....4C....9.,.B...A6..7.1
....6...9...,...4.A.....1,.9B2.C5...48,A42....B3...,..5..7...41.,..36.91.2...,...3.58.1B..,.29...A..6..,...87....29C,51...B9.6A2.,8.....6.5...,...A...5....
...C..68..9.,..4...7BC...,..871..9..AB,...A793..5..,...1..5..2..,.4.6......B7,CA......2.4.,..6..2..B...,..2..AB65...,1B..2..CA8..,...4B5...7..,.6..98..1...
3......86...,..C.3.A..2..,B8....9..35A,..8..96..7..,2........8.5,C94...8.B6..,..75.C...B86,9.2........3,..A..37..C..,519..7....AB,..6..2.A.9..,...4C......8
.....1..69A.,.1.5.394....,.8.C........,7.......A..C,A..BC7.3.4..,39..1A...2.6,4.7...AC..9B,..8.4.B67..2,C..6.......4,........8.6.,....A67.2.4.,.617..2.....
..6C.415....,...B.7..C..A,.A..9..2..8.,..5.......98,2.1...537..C,7B.........2,B.........A4,4..75A...8.9,19.......7..,.7..2..6..4.,C..3..4.9...,....3C9.16..
.9.8.3.6AB..,..6.1A..7...,...1...C.8..,6A1..8..5.C.,C...5.......,B..3..C.2.A7,71.4.2..C..5,.......5...1,.5.A..1..698,..2.9...3...,...5..B1.7..,..37C.A.1.5.
2C4.16A.....,..5..8......,31.A.59...6.,..8.....A.32,.4.7.35..1..,9..B.......6,4.......3..7,..6..12.5.9.,C7.5.....B..,.3...A1.C.8B,......8..9..,.....239.41A
..2....8..6.,....916...A3,6A.....21C..,.C9.6.7.....,8..A4...C..7,4.5....13...,...41....A.9,1..B...94..C,.....5.A.61.,..49B.....58,AB...914....,.2..5....B..
....5A..3.B.,A.5..B7..19.,6...9...8...,4..1B...2...,...31.....A7,..7.....B6C.,.417.....5..,86.....97...,...5...84..C,...6...4...3,.54..96..A.B,.8.B..1A....
...8..2..C19,3..C.....42.,7.....6C8..B,..A..34..6C7,...3AC..4...,....16.....8,1.....74....,...2..CB1...,487..1A..B..,2..795.....4,.A3.....5..1,B59..4..C...
B.94....8...,..86C.34....,3..CA....6..,...5.9...76A,.21B.6A...9.,......43....,....23......,.C...A5.9B8.,963...1.4...,..7....AB..9,....9B.573..,...3....A1.8
.C...B.8..17,.........B3.,14....C.5...,7...B....5..,...5C.8.21.9,....15.678.B,2.6C3.A4....,4.98.6.5A...,..A....1...5,...7.1....5A,.63.........,C9..A.4...6.
7B.9...6.2..,C.5.B......4,...2.......C,8.7...A...12,..4...7.A3B.,B..1.26...7.,.7...13.6..8,.1C6.5...B..,2A...B...C.3,A.......2...,6......8.A.5,..1.9...8.37
..3..6.BA.9.,.C.6251.....,..7...9..61.,...A.1......,...45.C..1B.,..C.84...9.3,9.2...A4.B..,.54..C.28...,......5.2...,.BA..9...C..,.....A816.4.,.6.8C.4..A..
B.2..34....A,.1..6..8...9,.5...C.B..3.,6.......CB..,3..B.2...49.,.....B.46..5,5..2A.7.....,.8B...2.5..3,..A7.......4,.6..7.1...2.,1...C..9..4.,7....6A..9.8
.4251....3..,..9.C.B...42,.7.B.3...1..,......C.A...,....AB.1..26,6..C39....B.,.B....362..1,7C..5.12....,...8.4......,..A...4.8.1.,91...2.5.A..,..7....39B5.
.3B..1..6..4,....5B69.3.8,.8.......B.C,.........2.6,....A.365.4B,5..C..2..81.,.58..2..7..9,3C.B4A.7....,A.6.........,B.C.......8.,2.5.964C....,4..6..A..79.
C..A6.8..B.3,.4..A..2....,B....3...A7.,.CB.....3.9.,83......5...,..4.359B....,....5A24.1..,...1......62,.7.3.....85.,.2C...3....A,....C..6..B.,6.5..9.18..4
....7.3.9...,519....2.A7.,.2...A69....,...C9...68..,89B.6.1A....,.A.......917,26C.......9.,....A8.5.B6C,..53...74...,....B37...4.,.83.4....65B,...4.5.8....
.8.CA.2....3,.4..517.9...,13....C64...,.629...C38..,.....79..A.2,.........4..,..5.........,8.9..CA.....,..C67...1B5.,...7CA....25,...8.247..C.,2....B.18.4.
14..........,..5.4..3.A17,B.7.8A......,..1.69...C2.,.6.9...5...A,A.85..C..B..,..A..7..92.3,2...5...6.7.,.16...98.5..,......4C.1.2,5B2.9..1.6..,..........34
..6..1A..B.4,...1........,9.2C4..58.A.,.75.8C1..93.,.....A7..5.2,....2....1..,..8....7....,4.1..6C.....,.6B..521.C8.,.9.41..2A8.B,........C...,1.A..94..6..
2..C...39...,....CA...5..,.49..B...A..,...9.1......,.7B.5.62.1.4,564..9..C...,...6..B..371,9.7.85.A.6C.,......7.B...,..1...9..B3.,..5...28....,...3B...A..8
...76.1.....,65A.7.....B.,.91..2BA.6.7,2.7.1C....3.,A.....3.B.4.,...5...7...6,C...B...A...,.7.3.5.....1,.A....26.B.8,7.9.AB8..42.,.2.....4.38A,.....6.39...
34.....762.1,...1...6.37.,.C7..B......,.1B..A......,.6A3.4......,.5..38..4.9B,5A.C..93..6.,......1.59C.,......C..7A.,......B..63.,.96.7...C...,B.C48.....27
.AB..9..56..,.57C.8..9..B,.9..3A..C...,.81....7...9,.....4.12..6,...72.....4.,.6.....A4...,A..57.1.....,C...5....72.,...1..C4..5.,5..9..3.741.,..C8..2..9B.
1...47..9.5.,..B..1..C..7,5A..B....4..,71....4..5..,..4AC....2..,2.3.7.6.A...,...2.9.A.B.8,..A....879..,..8..B....6A,..7....C..32,B..4..7..A..,.C.1..94...6
B4..28.....C,182....B....,....9.A..4..,...A5.8..7CB,......C.1.5.,.B...A.12...,...56.1...B.,.A.B.9......,264..5.73...,..C..6.9....,....C....A76,9.....48..25
4...1....3..,.36A..584.7.,..C.........,A..7..63.1.2,...6987...4.,.8.5....6..B,5..9....7.2.,.6...3B9A...,3.7.54..C..8,.........A..,.A.B49..52C.,..1....5...7
4......81..A,.679...1....,CA.85..42.67,..2......6..,..6.731...B.,5B...82...4.,.8...1B...24,.3...246.5..,..9......A..,61.AB..78.32,....4...61A.,9..51......B
A4.C....5.92,8......A3...,93..1.2.4...,...2...C9.1.,4C..8....37.,...1.79..B..,..8..B6.C...,.9C....2..A5,.2.4C...B...,...3.8.9..57,...85......3,7B.5....8.46
.65.7......A,41...2......,C....5.8B2.6,..B94..1...C,..4..8...A9.,....36.....7,6.....A5....,.43...8..7..,1...9..385..,A.675.4....B,......3...C1,B......A.67.
.9182....C..,723...5A...1,.....7.6....,C.2.4.7.....,97....2..5..,8.6..B..2.A.,.B.A..C..3.7,..C..A....85,.....4.8.1.B,....7.B.....,B...5C...47A,..7....4B82.
C2...6..1.3.,...B.C3.....,.......A6..8,..486..9.B..,7.2..5.4..6A,.C5..7......,......9..32.,38..7.A..C.6,..7.C..241..,5..32.......,.....17.3...,.B.A..6...15
.16...C23..A,..C....7.8..,.8B3.9..C...,....C6..B18.,.65.94.1..2.,9.......6..5,1..B.......4,.4..B.76.39.,.A95..43....,...1..B.4A3.,..3.A....2..,4..935...71.
.....B.A68..,A.9.5.8...1.,..3....4A.7.,.....6.....8,.AC1...95..6,38.6...7.4..,..A.7...9.35,7..C8...B62.,4.....1.....,.1.92....3..,.4...7.8.5.1,..63B.C.....
...8.46...BA,...AC..1.8..,.4.182....9.,.2.B7.C...A1,.A.7....B...,1...B.A.27..,..45.7.2...9,...6....C.2.,97...C.8A.6.,.1....7C5.3.,..9.4..B1...,58...A1.7...
7..56B......,8..3.4.5.9..,.61...A.4.7.,.......9...A,.35.4C....2.,.8..A.6....C,1....6.C..A.,.A....98.6C.,5...2.......,.9.C.2...71.,..B.8.1.A..6,......4A5..2
..7..A.3...8,6AC...4.1..2,.....8..A497,..52...7....,C....5.69...,.64...A...C5,3B...1...84.,...16.C....A,....B...51..,8317..B.....,9..C.6...71B,2...8.9..C..
